ID,Indicator,Current Value,Current Value Unit,Reference_Value,Ref Value,Ref Value Unit,Ref Min value,Ref Max Value
1,Bitcoin Ahr999 Index,1,Float,≥4,4,Float,0,4
2,Pi Cycle Top Indicator,111025.27,$,"≥$189,352",189352,$,0,10
3,Puell Multiple,1.29,Float,≥2.2,2.2,Float,0,2.2
4,Bitcoin Rainbow Chart,3,Float,≥5,5,Float,0,10
5,Days of ETF Net Outflows,0,Float,≥10,10,Float,0,10
6,ETF-to-BTC Ratio,4.95,%,≤3.5%,3.5,%,0,10
7,2-Year MA Multiplier,110585.58,$,"≥$361,366",361366,$,0,10
8,MVRV Z-Score,2.1,Float,≥5,5,Float,0,10
9,Bitcoin Bubble Index,13.48,Float,≥80,80,Float,0,10
10,USDT Flexible Savings,5.71,%,≥29%,29,%,0,10
11,RSI - 22 Day,46.23,Float,≥80,80,Float,0,10
12,CMC Altcoin Season Index,49,Float,≥75,75,Float,0,10
13,Bitcoin Dominance,57.78,%,≥65%,65,%,0,10
14,Bitcoin Long Term Holder Supply,15.48,Million,≤13.5M,13.5,Million,0,10
15,Bitcoin Short Term Holder Supply (%),22.27,%,≥30%,30,%,0,10
16,Bitcoin Reserve Risk,0.0024,Float,≥0.005,0.005,Float,0,10
17,Bitcoin Net Unrealized P&L (NUPL),54.91,%,≥70%,70,%,0,10
18,Bitcoin RHODL Ratio,3315,Float,≥10000,10000,Float,0,10
19,Bitcoin Macro Oscillator (BMO),0.8,Float,≥1.4,1.4,Float,0,10
20,Bitcoin MVRV Ratio,2.11,Float,≥3,3,Float,0,10
21,Bitcoin 4-Year Moving Average,2.1,Float,≥3.5,3.5,Float,0,10
22,Crypto Bitcoin Bull Run Index (CBBI),76,Float,≥90,90,Float,0,10
23,Mayer Multiple,1.13,Float,≥2.2,2.2,Float,0,10
24,Bitcoin AHR999x Top Escape Indicator,3.01,Float,≤0.45,0.45,Float,0,10
25,MicroStrategy's Avg Bitcoin Cost,73526,$,"≥$155,655",155655,$,0,10
26,Bitcoin Trend Indicator,6.14,Float,≥7,7,Float,0,10
27,3-Month Annualized Ratio,9.95,%,≥30%,30,%,0,10
28,Bitcoin Terminal Price,110585.58,$,"≥$187,702",187702,$,0,10
29,Golden Ratio Multiplier,110585.58,$,"≥$135,522",135522,$,0,10
30,Smithson's Bitcoin Price Forecast,110585.58,$,"≥$175,000",175000,$,0,10
